compare,basehomo,similarity,baseline
世,郊,0.9975182,1
世,维,0.99631166,1
世,童,0.99217606,1
世,或,0.99783564,1
世,介,0.9910488,1
世,强,0.9978339,1
世,座,0.99352026,1
世,冒,0.99684864,1
世,娃,0.9953834,1
世,武,0.98568445,1
世,闭,0.99803793,1
事,世,0.9977965,0
似,脑,0.99402833,1
似,术,0.9939367,1
似,印,0.99618787,1
似,良,0.99761534,1
似,似,0.98942703,1
似,河,0.996106,1
似,治,0.9976278,1
似,楼,0.99497396,1
似,香,0.9914674,1
似,将,0.9955369,1
似,保,0.9968588,1
似,简,0.9967646,1
似,适,0.9978431,1
似,男,0.9963082,1
似,兵,0.9965708,1
似,俊,0.99734956,1
似,刮,0.9951191,1
似,标,0.996569,1
似,阳,0.9977055,1
似,弹,0.99795794,1
似,装,0.99536824,1
似,望,0.9974058,1
似,卖,0.99727845,1
似,包,0.9981542,1
似,戏,0.99784803,1
似,背,0.9983685,1
似,低,0.9950265,1
似,速,0.9957857,1
似,奇,0.9961927,1
似,坐,0.9978124,1
似,未,0.9942143,1
似,黑,0.9966209,1
似,礼,0.99829656,1
似,乖,0.99433243,1
似,软,0.99672455,1
似,燕,0.99373335,1
似,区,0.9978098,1
似,消,0.99623567,1
似,钢,0.9987608,1
似,伙,0.9963906,1
似,工,0.9987102,1
似,世,0.9977965,1
似,界,0.99829745,1
似,泪,0.9963697,1
似,化,0.9829575,1
似,绿,0.9967909,1
似,询,0.9975512,1
似,木,0.99358153,1
似,计,0.9975948,1
似,敬,0.997378,1
似,吴,0.99585736,1
似,导,0.9988011,1
似,尚,0.9949821,1
似,柔,0.9897443,1
似,称,0.9978599,1
似,秦,0.9890522,1
似,余,0.9893215,1
似,业,0.9968827,1
似,往,0.99468607,1
似,刘,0.9943054,1
似,条,0.9969424,1
似,嵩,0.99870706,1
似,更,0.99626374,1
似,案,0.9976908,1
似,内,0.99838793,1
似,命,0.99407494,1
似,哭,0.9918034,1
似,弄,0.99309266,1
似,利,0.99628896,1
似,选,0.99201274,1
似,搞,0.9967737,1
似,照,0.9980577,1
似,祝,0.99771714,1
似,阿,0.98444504,1
似,迪,0.9899423,1
似,俩,0.9943639,1
似,尔,0.998801,1
似,鸡,0.9973328,1
似,梁,0.99658465,1
似,茹,0.9968382,1
似,短,0.9965694,1
似,杨,0.9947059,1
似,徐,0.99328667,1
似,除,0.99565256,1
似,暑,0.99896157,1
似,体,0.9979075,1
似,排,0.997754,1
似,泡,0.9945476,1
似,右,0.99819005,1
似,舒,0.9969551,1
似,类,0.997615,1
似,型,0.9966788,1
似,剧,0.99451363,1
似,郊,0.9975182,1
似,维,0.99631166,1
似,童,0.99217606,1
似,或,0.99783564,1
似,介,0.9910488,1
似,强,0.9978339,1
似,座,0.99352026,1
似,冒,0.99684864,1
似,娃,0.9953834,1
似,武,0.98568445,1
似,闭,0.99803793,1
事,似,0.98942703,0
适,脑,0.99402833,1
适,术,0.9939367,1
适,印,0.99618787,1
适,良,0.99761534,1
适,似,0.98942703,1
适,河,0.996106,1
适,治,0.9976278,1
适,楼,0.99497396,1
适,香,0.9914674,1
适,将,0.9955369,1
适,保,0.9968588,1
适,简,0.9967646,1
适,适,0.9978431,1
适,男,0.9963082,1
适,兵,0.9965708,1
适,俊,0.99734956,1
适,刮,0.9951191,1
适,标,0.996569,1
适,阳,0.9977055,1
适,弹,0.99795794,1
适,装,0.99536824,1
适,望,0.9974058,1
适,卖,0.99727845,1
适,包,0.9981542,1
适,戏,0.99784803,1
适,背,0.9983685,1
适,低,0.9950265,1
适,速,0.9957857,1
适,奇,0.9961927,1
